Scenario,Region,Year,Variable,Metal,Metal intensity (t/GW),Metal_demand_t,Fiability_used,Comment
Canada Net-zero,Canada,2020,Bioenergy,Aluminum,2600.0,6562.66,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2020,Bioenergy,Chromium,2.0,5.0482,Variability in data,
Canada Net-zero,Canada,2020,Bioenergy,Cobalt,2.0,5.0482,Variability in data,
Canada Net-zero,Canada,2020,Bioenergy,Concrete,159000.0,401331.89999999997,No comparison,
Canada Net-zero,Canada,2020,Bioenergy,Copper,2222.5,5609.81225,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2020,Bioenergy,Iron,42797.45,108025.04354499998,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2020,Bioenergy,Lead,104.0,262.5064,Variability in data,
Canada Net-zero,Canada,2020,Bioenergy,Nickel,20.0,50.482,Important variability in data,
Canada Net-zero,Canada,2020,Bioenergy,Zinc,160.0,403.856,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2021,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2021,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2021,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Concrete,159000.0,404352.89999999997,No comparison,
Canada Net-zero,Canada,2022,Bioenergy,Copper,2222.5,5652.03975,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Iron,42797.45,108838.19509499999,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2022,Bioenergy,Lead,104.0,264.4824,Variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Nickel,20.0,50.861999999999995,Important variability in data,
Canada Net-zero,Canada,2022,Bioenergy,Zinc,160.0,406.89599999999996,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Aluminum,2600.0,6612.0599999999995,Small variability in data,mean of Small variability in data
Canada Net-zero,Canada,2023,Bioenergy,Chromium,2.0,5.0862,Variability in data,
Canada Net-zero,Canada,2023,Bioenergy,Cobalt,2.0,5.0862,Variability in data,
